AÑO / MES / DÍA ,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACIÓN (mm/día)
1/4/2019,30.8,19.6,80.3,2.8
2/4/2019,32.2,20,81.3,18.5
3/4/2019,30,20.5,78.8,0.0
4/4/2019,32.8,18.3,80.1,0.0
5/4/2019,33.6,19.8,86.5,0.0
6/4/2019,33.4,21.4,81.8,0.0
7/4/2019,33,18.6,78.3,0.0
8/4/2019,32,19.3,77.4,0.0
9/4/2019,33.6,20,81.1,0.0
10/4/2019,32.6,19,82.1,0.0
11/4/2019,33,18.3,81.2,0.0
12/4/2019,32,17.4,80.7,0.0
13/4/2019,33.6,18,80.5,0.0
14/4/2019,31.6,18.6,82.2,0.0
15/4/2019,35.4,19.4,81.2,0.0
16/4/2019,33.2,19,81,0.0
17/4/2019,32.4,20,81.9,0.0
18/4/2019,34.4,19.4,81.2,0.0
19/4/2019,32.8,21,79.6,0.0
20/4/2019,33.8,19,78.3,0.0
21/4/2019,31.2,20,80,0.0
22/4/2019,34.6,21,80.2,0.0
23/4/2019,33.4,22.2,80.1,0.0
24/4/2019,32,20.3,80.8,0.0
25/4/2019,31.8,19.4,78.4,0.0
26/4/2019,32.6,18.3,78,0.0
27/4/2019,32,19,82.8,0.0
28/4/2019,31.6,20,82.4,0.0
29/4/2019,33.2,18.3,81.3,0.0
30/4/2019,34.2,17,77.7,0.0
