AÑO / MES / DÍA ,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACIÓN (mm/día)
1/8/2019,25.8,10.3,78.7,0
2/8/2019,27.4,13,79.2,0
3/8/2019,26.8,10,81.2,0
4/8/2019,28.6,14,79.5,0
5/8/2019,27.4,14,76.2,0
6/8/2019,25.4,13,77.1,0
7/8/2019,26.8,11,80.4,0
8/8/2019,25,13,74.6,0
9/8/2019,24.8,11,75.9,0
10/8/2019,23,10,75.7,0
11/8/2019,27,13,77.8,0
12/8/2019,26.6,12.2,80.1,0
13/8/2019,28.4,13.2,79.7,0
14/8/2019,24.8,14,77.2,0
15/8/2019,28.8,12.2,78.2,0
16/8/2019,25.4,13,77,0
17/8/2019,25.8,14.2,80.9,0
18/8/2019,27,15,78.8,0
19/8/2019,24.8,15.3,79.1,0
20/8/2019,27.6,14,79.3,0
21/8/2019,30.8,13,80.3,0
22/8/2019,28.3,14.3,77.7,0
23/8/2019,27.4,13.2,77.9,0
24/8/2019,26.6,14,78.8,0
25/8/2019,27.2,15,75.3,0
26/8/2019,28,13,78.5,0
27/8/2019,28,14.3,77.6,0
28/8/2019,25.4,13.4,78.2,0
29/8/2019,29.8,12,81.1,0
30/8/2019,28.6,15.3,79.1,0
31/8/2019,28,15,77.4,0
