AÑO / MES / DÍA ,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACIÓN (mm/día)
1/12/2019,32.4,18.3,82.4,0
2/12/2019,31.8,18,81.1,0
3/12/2019,34.4,17,80.8,0
4/12/2019,33.8,17.6,81.8,0
5/12/2019,33.6,19.3,81,0
6/12/2019,31.4,18,79.8,0
7/12/2019,33,19,81.5,0
8/12/2019,32.2,18,78.9,0
9/12/2019,31.4,17,80.5,0
10/12/2019,30.4,18.4,79.5,0
11/12/2019,27.4,19,79.5,0
12/12/2019,30.4,20,80,0
13/12/2019,32.6,18.3,83.3,0
14/12/2019,30,17.4,80.4,0
15/12/2019,31.6,18,76.4,0
16/12/2019,31.8,17.8,82.4,0
17/12/2019,32.2,S/D,80,0
18/12/2019,33.2,18,80.4,0
19/12/2019,31.2,17,80.1,0
20/12/2019,30.2,19,77.8,0
21/12/2019,32,18,79.7,0
22/12/2019,33.4,19.4,77.5,0
23/12/2019,32.6,19,81.3,0
24/12/2019,33.2,18.3,81.6,0
25/12/2019,32,17,80.7,0
26/12/2019,33.8,18.6,78.5,0
27/12/2019,33.2,20,81.5,0
28/12/2019,33,21,80.9,3.4
29/12/2019,31.2,19,79.9,0.8
30/12/2019,29.2,18,80.2,0
31/12/2019,33.3,20,81.7,0
