AÑO / MES / DÍA ,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACIÓN (mm/día)
1/1/2019,34.4,20,78.4,0
2/1/2019,33.6,21,82.8,0
3/1/2019,32,22,81.8,0
4/1/2019,35,19.4,75.7,0
5/1/2019,33.8,21.2,76.4,0
6/1/2019,30.8,22,79.2,0
7/1/2019,34.8,20.2,78.3,0
8/1/2019,35.2,22,82.7,0
9/1/2019,33.4,21,76.7,0
10/1/2019,31.8,22.4,80.9,0
11/1/2019,33,23,82.2,0
12/1/2019,34.2,18.6,75.3,0
13/1/2019,33.8,21,74.8,0
14/1/2019,30,20,81.2,0
15/1/2019,32.8,21.2,83.1,0
16/1/2019,33.8,20,76.6,0
17/1/2019,33.4,19.4,75.7,0
18/1/2019,34.8,20.6,75.7,0
19/1/2019,35.2,20,78.6,0
20/1/2019,31.8,18,80.2,0
21/1/2019,35.4,20.2,77.7,0
22/1/2019,31.8,21.2,77.4,0
23/1/2019,35.2,20,74.4,0
24/1/2019,33.8,19,77.6,0
25/1/2019,31.8,21.6,80.1,0
26/1/2019,35.8,21,83.6,0
27/1/2019,36.2,22.4,76.4,0
28/1/2019,33,23,80.7,0
29/1/2019,34.8,21.2,79.2,0.2
30/1/2019,35.2,23.3,78.7,0
31/1/2019,31,22,80.6,0
