AÑO / MES / DÍA ,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACIÓN (mm/día)
1/2/2019,33.8,23.2,79.9,0.0
2/2/2019,33,21,79.3,0.0
3/2/2019,31.2,22.3,80,0.0
4/2/2019,33.2,23.4,82.1,0.0
5/2/2019,34.4,21.4,81.2,0.0
6/2/2019,32.8,23,75.8,0.0
7/2/2019,33.8,22,81.8,3.2
8/2/2019,32.8,23,81.5,0.7
9/2/2019,33,21,79.3,0.5
10/2/2019,32,22,80.8,0.0
11/2/2019,32.8,20,83,0.0
12/2/2019,30.8,21.3,82.1,0.0
13/2/2019,35.4,20.4,74.7,0.0
14/2/2019,33,22,79.5,10.0
15/2/2019,34.4,20,78.8,0.0
16/2/2019,35.4,21,79.5,0.0
17/2/2019,33.8,22.2,79,0.0
18/2/2019,34.4,23.2,80.7,7.5
19/2/2019,30.4,21,82.5,11.6
20/2/2019,33.4,22,76.4,2.7
21/2/2019,34.8,22.4,81.6,0
22/2/2019,35.4,22.8,74.5,0
23/2/2019,30.4,21.8,80.2,0
24/2/2019,30.8,23.2,81,70.5
25/2/2019,33.4,20,80.8,0.0
26/2/2019,34.8,22.2,76.2,0
27/2/2019,35.3,23,74.9,0.0
28/2/2019,33.6,21,80.8,0.0
