AÑO / MES / DÍA ,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACIÓN (mm/día)
1/7/2019,29.2,15,79.2,0.0
2/7/2019,27.6,16.2,78.4,0.0
3/7/2019,28.2,15.4,81.3,0.0
4/7/2019,26,14,80.2,0.0
5/7/2019,29.2,15.2,81.1,0.0
6/7/2019,30,14.4,77.2,0.0
7/7/2019,28.4,16,80.6,0.0
8/7/2019,29,14,77.4,0.0
9/7/2019,25.4,15,87.9,0.0
10/7/2019,28.4,11.2,77.4,0.0
11/7/2019,27.8,12,77.5,0.0
12/7/2019,26,15,77.2,0.0
13/7/2019,28.4,16,76.5,0.0
14/7/2019,25.4,14,79.5,0.0
15/7/2019,29.4,15,78.7,0.0
16/7/2019,29.8,14.3,80.1,0.0
17/7/2019,27.2,15,75.4,0.0
18/7/2019,23.4,16,78.8,0.0
19/7/2019,25.4,11,74.4,0.0
20/7/2019,30,12,77.8,0.0
21/7/2019,28.4,13,76.2,0.0
22/7/2019,27.6,15.2,80.7,0.0
23/7/2019,26.4,14.6,79.9,0.0
24/7/2019,28.8,15,78,0.0
25/7/2019,27,14.2,79.3,0.0
26/7/2019,25.4,13,79.3,0.0
27/7/2019,26.4,14,77.7,0.0
28/7/2019,24.4,15,80.5,0.0
29/7/2019,20.8,13.2,74.4,0.0
30/7/2019,23.6,12,76.9,0.0
31/7/2019,27.8,9.2,78.2,0.0
