"AÑO / MES / DÍA ,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACIÓN (mm/día) "
"1/6/2019,29.8,16,79.4,0"
"2/6/2019,30.2,15.2,78.9,0"
"3/6/2019,30,14,78.3,0"
"4/6/2019,29.8,15,78.7,0"
"5/6/2019,30,14,80.7,0"
"6/6/2019,31,16.2,72.7,0"
"7/6/2019,30.8,15,80.1,0"
"8/6/2019,30,16,81.2,0"
"9/6/2019,30.8,17,81,0"
"10/6/2019,31.6,15,75.8,0"
"11/6/2019,27.4,16.4,76.8,0"
"12/6/2019,28.4,16,74.6,0"
"13/6/2019,28.8,14,78.2,0"
"14/6/2019,29.4,15.2,79.6,0"
"15/6/2019,28.8,16.4,79.5,0"
"16/6/2019,29.2,17.2,78.5,0"
"17/6/2019,28,16,77.9,0"
"18/6/2019,27.6,17,77,0"
"19/6/2019,28.4,14,77.8,0"
"20/6/2019,29.8,13.2,76.5,0"
"21/6/2019,24.2,16.2,77.8,0"
"22/6/2019,26.4,13.6,80.2,0"
"23/6/2019,29,14,78.9,0"
"24/6/2019,29.8,12.4,77.3,0"
"25/6/2019,27.8,13,78.4,0"
"26/6/2019,29.4,13,79.5,0"
"27/6/2019,30,13.4,81.2,0"
"28/6/2019,28.6,14,80,0"
"29/6/2019,23.4,16,80.7,0"
"30/6/2019,28.8,14.2,79.4,0"
