AÑO / MES / DÍA ,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACIÓN (mm/día)
1/5/2019,31.8,18,82.3,0.0
2/5/2019,32.2,17.4,78.7,0.0
3/5/2019,33,18.6,81,0.0
4/5/2019,33.4,19.2,76.7,0.0
5/5/2019,31.2,19,81,0.0
6/5/2019,32.8,18.3,81.7,0.0
7/5/2019,28.4,19.4,79.9,0.0
8/5/2019,31.8,16.4,79.2,0.0
9/5/2019,31.8,17.2,80.5,0.0
10/5/2019,30.4,19,79.7,0.0
11/5/2019,32.8,17,81.4,0.0
12/5/2019,30.8,18.2,79.8,0.0
13/5/2019,31.2,20,80.7,0.0
14/5/2019,33.2,19,80.5,0.0
15/5/2019,33.2,18,80.5,0.0
16/5/2019,32,17.4,80.5,0.0
17/5/2019,31.4,19,82.7,0.0
18/5/2019,31.2,16.2,79.8,0.0
19/5/2019,31.6,16,79.7,0.0
20/5/2019,30.4,17,83.1,0.0
21/5/2019,31,16.4,78.5,0.0
22/5/2019,32.2,17.3,79.4,0.0
23/5/2019,30.4,16.2,81,0.0
24/5/2019,31,18,81.7,0.0
25/5/2019,29.8,17,81.5,0.0
26/5/2019,30.6,18.4,80,0.0
27/5/2019,29.6,15.6,79.7,0.0
28/5/2019,31.6,17,81.3,0.0
29/5/2019,28.8,15,79.4,0.0
30/5/2019,29.8,16.2,79.2,0.0
31/5/2019,31.8,14.6,79.4,0.0
