AÑO / MES / DÍA ,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACIÓN (mm/día)
1/11/2019,32,18.3,81.7,0
2/11/2019,33.4,16.2,78.1,0
3/11/2019,26.4,17,77.4,0
4/11/2019,32,15.4,76.2,0
5/11/2019,33,16,82.6,0
6/11/2019,32.6,15,80,0
7/11/2019,31.6,16.4,76.3,0
8/11/2019,32.8,15.4,80.2,0
9/11/2019,33.2,16,82.1,0
10/11/2019,32.6,17.3,82.1,0
11/11/2019,33,16.5,79.7,0
12/11/2019,30.8,18.2,83,0
13/11/2019,32,16,82.5,0
14/11/2019,31.2,17,81.1,0
15/11/2019,32.6,15.2,77.8,0
16/11/2019,30,17.6,78.7,0
17/11/2019,28.6,16.2,78.7,0
18/11/2019,29.4,18.2,79.3,0
9/11/2019,25.4,17.2,80.4,0
20/11/2019,32.8,16,80.1,0
21/11/2019,30,17,80.4,0
22/11/2019,29.4,18.2,82.2,0
23/11/2019,26.6,16,78.7,0
24/11/2019,29,19,79.5,0
25/11/2019,26,18.2,81.1,0
26/11/2019,25.4,17,79.3,0
27/11/2019,33,16,81.6,0
28/11/2019,32.8,18,81,0
29/11/2019,31.8,19,82.7,0
30/11/2019,29.8,17.3,82.5,0
