AÑO / MES / DÍA ,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACIÓN (mm/día)
1/10/2019,26.4,16,79.2,0.0
2/10/2019,31,12,79.1,0.0
3/10/2019,30,14,77,0.0
4/10/2019,28.8,13,81,0.0
5/10/2019,27.6,14.2,78.8,0.0
6/10/2019,31,15,79.2,0.0
7/10/2019,29.4,14.5,81,0.0
8/10/2019,30.6,14,81.3,0.0
9/10/2019,31,15.4,81.4,0.0
10/10/2019,30,14.5,77.8,0.0
11/10/2019,29,15,80.1,0.0
12/10/2019,30.8,16,80,0.0
13/10/2019,31.2,17,76.5,0.0
14/10/2019,30,16.3,82,0.0
15/10/2019,32.8,15.4,81.8,0.0
16/10/2019,31.6,16,80.6,0.0
17/10/2019,30,15,79.4,0.0
18/10/2019,28.8,14,75.9,0.0
19/10/2019,32,15.6,79.9,0.0
20/10/2019,30.4,15,79.7,0.0
21/10/2019,30,17,81.6,0.0
2/10/2019,29.6,15.4,77.7,0.0
23/10/2019,30.4,16.2,82.1,0.0
24/10/2019,29,15.5,76.5,0.0
25/10/2019,31.8,14.6,78.1,0.0
26/10/2019,30,14.2,80,0.0
27/10/2019,32.8,15,79.3,0.0
28/10/2019,31.4,16.4,78.2,0.0
29/10/2019,30,15,78.4,0.0
30/10/2019,32.2,17.3,80.7,0.0
31/10/2019,33.4,17,81.5,0.0
