AÑO / MES / DÍA ,MAX ,MIN ,HUMEDAD RELATIVA (%) ,PRECIPITACIÓN (mm/día)
1/9/2019,26.4,14.5,79.1,0.0
2/9/2019,29,14,79.3,0.0
3/9/2019,28.4,15,79.3,0.0
4/9/2019,29.8,16,77.5,0.0
5/9/2019,30,14,81.4,0.0
6/9/2019,29,15,81.6,0.0
7/9/2019,27.4,14,74,0.0
8/9/2019,25.4,15,76.9,0.0
9/9/2019,26,13.2,78.3,0.0
10/9/2019,27.8,10,81.7,0.0
11/9/2019,29.4,13,78.5,0.0
12/9/2019,28.8,14,76.7,0.0
13/9/2019,27.6,13.4,77.4,0.0
14/9/2019,28,14,76.8,0.0
15/9/2019,29.2,13,79.6,0.0
16/9/2019,29,14.2,81.6,0.0
17/9/2019,30.4,13.2,80.9,0.0
18/9/2019,26.4,14,78.6,0.0
19/9/2019,28.2,13,79,0.0
20/9/2019,23.8,14.3,77.8,0.0
21/9/2019,25.4,14,80.1,0.0
22/9/2019,28.8,13,75.8,0.0
23/9/2019,27.4,14.4,78,0.0
24/9/2019,29.8,15,80.1,0.0
25/9/2019,30.4,16,78.7,0.0
26/9/2019,29.4,16,79.6,0.0
27/9/2019,30.4,13,77.4,0.0
28/9/2019,30,14,78.8,0.0
29/9/2019,32.4,15,79.8,0.0
30/9/2019,30.4,15.4,78.1,0.0
